hood,score
Central Business District,1.0
Allegheny Center,0.910944165599531
North Oakland,0.8331984577417814
East Liberty,0.7973807151304775
Point Breeze,0.7352184258831665
Squirrel Hill South,0.7158728222903852
South Side Flats,0.7140178562308892
North Shore,0.6829896027334625
Beechview,0.6343290295745543
Hazelwood,0.6108663775316939
Shadyside,0.5959829640012867
Highland Park,0.5930709105626699
Central Northside,0.5919482336457135
Mount Washington,0.5839496205759455
Bloomfield,0.5739938822857259
Brookline,0.5598159869873779
Central Lawrenceville,0.5584178699452924
Carrick,0.5573253831297303
East Allegheny,0.5451273718297331
Brighton Heights,0.5337150090211004
Greenfield,0.523274668389564
Lower Lawrenceville,0.5134370686300839
Sheraden,0.5050254477824415
Strip District,0.5014505294774385
West End,0.4785096782875625
Central Oakland,0.4778260767776685
Garfield,0.47744524610476197
Crawford-Roberts,0.47415347819629167
Spring Hill-City View,0.46357821705934826
Lincoln-Lemington-Belmar,0.4622152359486467
Perry North,0.45673805826113234
South Side Slopes,0.4561102586195297
Beltzhoover,0.4534069919282652
Troy Hill,0.4530512563781661
Manchester,0.44978677366751846
Elliott,0.42585031646219806
Allentown,0.4245195932636095
Perry South,0.41825633323753447
Upper Hill,0.41165990628270094
Knoxville,0.40740866668997655
Upper Lawrenceville,0.3950659054958222
Polish Hill,0.39473906353609994
Allegheny West,0.3938578952349023
Regent Square,0.39179359697085
Stanton Heights,0.38670489463457935
Duquesne Heights,0.3832801405236276
Middle Hill,0.3611891791212055
Hays,0.35502120690230143
Crafton Heights,0.354372988675708
Squirrel Hill North,0.34722470425047613
Spring Garden,0.34369083971139425
Marshall-Shadeland,0.341740130819763
East Carnegie,0.3382034654470767
Homewood South,0.33005751272278405
East Hills,0.31672785404342607
Swisshelm Park,0.31134750233065617
Overbrook,0.3030846541174774
Larimer,0.2765424506462292
Bluff,0.27026257224481004
South Oakland,0.26058664318494146
Morningside,0.2381569532073862
Esplen,0.23441410270316188
West Oakland,0.2333916382736865
Point Breeze North,0.23315027553869783
Lincoln Place,0.22877765202369785
Banksville,0.22090999070597664
Homewood North,0.21966243224252988
Windgap,0.20128463975288324
Homewood West,0.1915675601461055
Terrace Village,0.18379418512038315
Bedford Dwellings,0.1797650506184653
Westwood,0.1595742793914082
Bon Air,0.13624959385505167
Chateau,0.13514590854184733
Arlington,0.11979810402796369
Oakwood,0.11660243439894045
Chartiers City,0.11544036113580196
Fineview,0.10983353819037736
South Shore,0.08684814843117872
Mt. Oliver,0.08614742722462483
New Homestead,0.07561284674285305
Friendship,0.07362794652188014
Fairywood,0.07158371224093518
California-Kirkbride,0.0646658816141165
Glen Hazel,0.04501872215800528
Northview Heights,0.035150161664437615
Summer Hill,0.0
St. Clair,0.0
Ridgemont,0.0
